title,description,price,status,url,date_public
книги Різдвозавр 2 частини,"Ціна за 2 шт. Відправка укр поштою 

Кращі новорічні книги для дітей  завжди несуть у собі особливу атмосферу, і казка Тома Флетчера «Різдвозавр та Зимова Відьма» не виняток. Це історія про хлопчика, який дуже любить Різдво та щиро вірить у різдвяні дива. Одного разу він опиняється в майбутньому і з жахом дізнається, що там його улюбленого свята немає. Щезло все – Санта, його вірні помічники-ельфи, олені, які возять сани та навіть самі сани! Головний герой, повернувшись, розуміє, що Різдво опинилося під загрозою. І саме йому судилося врятувати улюблене свято.
Різдвозавр повертається! Приготуйтеся до НОВОЇ різдвяної пригоди від автора бестселерів Тома Флетчера!
Усі вже знають про списки Чемненьких та Нечемнюхів, правда ж? А про суперсекретний пристрій Санти, який він ЗАВЖДИ звіряє двічі? Що ж, цьогоріч Різдвозаврові доведеться відшукати дітлахів, які опинились у списку Нечемнюхів, аби допомогти їм пізнати справжній дух Різдва, виправити помилки, вугільні грудки обернути на цукерки... а з Нечемнюхів перетворитися на Чемненьких! Адже Санта вірить, що всі діти заслуговують на другий шанс.",380,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/knigi-rzdvozavr-2-chastini-IDR8qSL.html?sd=1,Опубліковано Сьогодні о 11:29
Кофточки 27см и 32см.,"Зелена Кофточка с закритими ручками,тепленька(баєчка). Довжина 27,ширина 23*2.

Біла в синій дрібний горошок кофточка(тоненька). Довжина 32см.
На кнопочках.
Ціна по 45 грн за кожну кофточку",45,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/koftochki-27sm-i-32sm-IDDzAOE.html?sd=1,Опубліковано Сьогодні о 11:27
Костюм на мальчика Кофта джинсы,"Состояние идеальное , на рост 104-110см. Кофта на флисе. Джинсы зауженные . Замеры вышлю",200,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/kostyum-na-malchika-kofta-dzhinsy-IDR8qKw.html?sd=1,Опубліковано Сьогодні о 11:26
Ветровка   фирма Bembi,"Продам ветровку фирмы ""Bembi"" на девочку.Размер 98.  Носили с роста 98 до 104. В хорошем состоянии.",250,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/vetrovka-firma-bembi-IDL2wcC.html?sd=1,Опубліковано Сьогодні о 11:31
Продам комбез трансформер,"Продам комбез - трансформер , на овчине , очень теплый с 0+ до 1 , очень теплый)",200,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/prodam-kombez-transformer-IDJQCiq.html?sd=1,Опубліковано Сьогодні о 11:27
Акція! Знижка 70%.  Конверт на овчині. Новий,"Акція! Знижка 70%.  Конверт на овчині. Новий. Ціна - 349 грн
Акція! Зимовий конверт ""Baby"" на виписку, в коляску та в сані. Ціна 349 грн
Актуальні ціни і кольори конвертів можна подивитися на сайті:  magazinbaby. com. ua
На інших сайтах ціни і наявність товару може бути неактуальним
З усіх питань - пишіть на вайбер: 09******17
Замовити можна:
1. на сайті 
2. по телефону: 09*********67, 06*********65,  09*********17
3. написати замовлення на вайбер: 09******17
Магазин знаходиться в м. Харків, вул. Ціліноградська 58Б. СБ.: 12-00 -14-00. В інший час - працюємо на видачу замовлень оформлених на сайті magazinbaby.com.ua Перед приїздом краще уточнити наявність товару по телефону: 06******65  В інші міста відправка новою поштою. Наложеним відправляємо з авансом 100грн
НАПИШІТЬ ВАШЕ ПИТАННЯ НА ВАЙБЕР 09******17 - СКИНЕМО ВІДПОВІДЬ НА ВАШЕ ПИТАННЯ

Пропонуємо Вам незамінну річ для вашої дитини з народження до 10 років. Конверт розрахований на температуру -25 градусів. Ваш малюк не замерзне навіть у найсильніший мороз.
Конверт ""4 в 1"" може використовуватись у чотирьох варіантах:

Як конверт на виписку з пологового будинку в зимовий час;
Як конверт – чохол у коляску від 0 до 3 років;
Як конверт – чохол у санки з 2-х років до 10 років;
Як тепла ковдра на овчині.
Переваги конверту:

Конверт чудово зберігає тепло. Конверт розрахований на температуру -25 градусів. Ваш малюк не замерзне навіть у найсильніший мороз.
На конверті передбачена система, завдяки якій конверт зверху затягується і вітер не задуватиме вашій дитині.
Конверт - чохол прослужить вам багато років і стане вам незамінною річчю в зимову пору року
Розмір: 90*48 см
Виробництво: Україна ТМ ""Baby""
Тканина верху: водовідштовхувальна, непродувна плащівка виробництва Польща
Хутро: набивна овчина виробництва Австрія. Гіпоалергенний матеріал, який чудово утримує тепло.
Утеплювач: термофайбер. Екологічно чистий матеріал. Має відмінну теплопровідність.",349 грн. / за 1 шт.,Бізнес,https://www.olx.ua/d/uk/obyavlenie/aktsya-znizhka-70-konvert-na-ovchin-noviy-IDQfPIi.html?sd=1,Опубліковано Сьогодні о 11:29
Куртка на девочку 98-104,"Очень классная удлиненная демисезонная курточка 
На холодную весну, теплую зиму 
Материал комбинированный, сверху и по капюшону- Тедди , остальная курточка из блестящей розовой плащевки
На талии кулиска, смотрится супер
Одели раз 5, в идеальном состоянии
По бирке 3-4 года , 98-104
Если интересует доп замеры -пишите",400,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/kurtka-na-devochku-98-104-IDR8qTB.html?sd=1,Опубліковано Сьогодні о 11:29
Чоловічок челаовечек Gap,Стильний чоловічок для хлопчика! Розмір 3-6 місяців! Хороший стан,110,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/cholovchok-chelaovechek-gap-IDQ2PMg.html?sd=1,Опубліковано Сьогодні о 11:30
Джинси H&M 5-6 років 116 см / штани для хлопчика кемел Оригінал.,"Дитячі джинси-штани для хлопчика 5-6 років.
Фірма H&M
Ріст 116.
Ширина: 34 см 
Довжина: 65 см",255,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/dzhinsi-h-m-5-6-rokv-116-sm-shtani-dlya-hlopchika-kemel-orignal-IDAVLDV.html?sd=1,Опубліковано Сьогодні о 11:29
Іграшка на пульті,"Нова фірма ПЕПКО Польща
Маю групу у вайбері пишіть додам",500,Бізнес,https://www.olx.ua/d/uk/obyavlenie/grashka-na-pult-IDR8qQT.html?sd=1,Опубліковано Сьогодні о 11:28
