title,description,price,status,url,date_public
Продавець-Консультант в магазин одягу та взуття Київ(Позняки-Харківс],Запрошуемо в свою команду Продавців-консультантів(одягу та взуття)   Що мы пропонуемо: -Роботу поруч з домом.   -Своечасну выплату З/П(раз у тиждень).   -можливість камерного зростання.   Що для нас важливо: -Доброзичливе обслуговування клієнтів.   -Якісна консультація. -Підготовка товару для продажу. -Готовність до навчання.   Магазин знаходиться в місті Київ за адресою вулиця Григоренка 27(Велика Кишеня 2 поверх).Також по вулиці Харківське Шосе 21.Також по вулиці Ялтинска 20(Магазин тільки буде відкриватися). Детальніше можно дізнатися за телефоном 06******98 Анатолий.   Телефонуйте щодня з 10.00 - 18.00.,None,7 500 - 14 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/prodavets-konsultant-v-magazin-odyagu-ta-vzuttya-kivpoznyaki-harkvs-IDR5O27.html,Опубліковано Сьогодні о 08:26
Требуется разнорабочий,"На постоянную работу, в рыбоперерабатывающее предприятие требуется разнорабочий, с техническими умениями обслуживания сушильных агрегатов, вентиляции, электроинструмента, коптильного оборудования. Официальное трудоустройство.  
Вахтовый метод работы.
Только с проживанием, адекватность, порядочность без алко зависимости.",None,10 000 - 12 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/trebuetsya-raznorabochiy-IDQgQ8A.html,Опубліковано Сьогодні о 08:24
Постійна робота Виноградар 1200 доба - надаємо житло!,"ОПИС ВАКАНСІЇ:Прибиральниці та двірники в ТЦ ""Ретровіль"" на проспекті Правди (ст. м. Сирець, Нивки)ОПЛАТА  КОЖНІ  ДВА ТИЖНІДень 480-530-600 грн. 8:00-21:00Ніч 480-530-600 грн. 21:00-8:00Доба 960-1200 грн. 8:00-8:00(УВАГА: грошова сума за зміну залежить від розряду! Дізнавайтеся детальніше на співбесіді)Увага: підробіток з оплатою в кінці зміни - 400 грн день/ніч, або 800 за добуРобота на підлогомиючих машинах, полотерах та за допомогою простого інвентарю (віники, щітки, швабри). Роботі на спецтехниці навчаємо!Спецодяг та інвентар надаємоНадаємо житло для іногородніх поруч з роботою (варіанти розміщення та умови докладніше за телефоном)Навчаємо безкоштовно - ви підвищуєте свій робочий розряд та отримуєте більшу заробітну плату!ВИМОГИ:Наявність паспорту (ІD-картки) та ідентифікаційного коду (оригінали!) Якщо документ втрачений - довідку з поліції або ЦНАП.Прописка в межах УкраїниОхайний зовнішній вигладУважне ставлення до доручених задачКультурна поведінка з персоналом та відвідувачами торгівельного центруУВАГА: За ознак алкогольного сп'яніння = недопущення до роботи/негайне звільнення!",None,7 000 - 12 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/postyna-robota-vinogradar-1200-doba-nadamo-zhitlo-IDKhIF2.html,Опубліковано Сьогодні о 08:44
Робота в таксі. Аренда/ЗП до 70%,"Працювати з нами легко, тому що ми найкращі! Автопарк працює зі службами Уклон, Болт, або на Ваш вибір будь-яка служба такси. Наші АВТО - Механічна коробка,- RenaultLogan та Коробка автомат Hyundai Sonata.Ми пропонуємо:Аренда 3300 грн/тижденьЗП 60-70% від касси (10:00-10:00) Лівий берег. Розрахунок щоденнийМи чекаємо на Вас, але за умовами якщо: - Маєте водійське посвідчення з відкритою категорією В; - Ваш водійський стаж перевищує 2 р; - Відсутність судимості; вміння користуватися навігацією і маєте бажання заробляти, тоді телефонуйте 06******51",None,20 000 - 30 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/robota-v-taks-arenda-zp-do-70-IDLRnkK.html,Опубліковано Сьогодні о 08:10
Работа в Киеве. Аренда авто,"Условия сотрудничества:• Работа в удобном приложении Bolt/Uklon и не только с навигатором• Автомобили парка, на газу• Механическая коробка,- Renault Logan аренда 3400 грн• Коробка автомат Hyundai Sonata, К5 аренда от 3700 грн• У нас есть Техническая поддержка 24/7Звоните 09******21",None,23 000 - 26 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/rabota-v-kieve-arenda-avto-IDQIgIH.html,Опубліковано Сьогодні о 08:20
Продавець на м‘ясо,"М’ясний магазин потрібен продавець 
График работи 4/4 
З 8:00 до 20:00 
Зп від  800 грн в день 
Стажування 600 грн
Вул.Василенко",None,16 000 - 18 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/prodavets-na-myaso-IDR00nl.html,Опубліковано Сьогодні о 08:36
Продавець в інтернет магазині. Робота в офісі.,"Доброго дня! Інтернет магазин AlphaStore шукає менеджера по продажам.  

Вимоги: 
1. Пунктуальність;
2. Стійкість до стресових ситуацій;
3. Комунікабельність;
4. Вміння працювати з ПК. 

Обов‘язки:
1. Приймання/обробка замовлень в соц.мережах, месенджерах;
2. Створення накладних в 1с;
3. Запис ттн.

Перед початком роботи ви проходите стажування. Скільки воно проходить - залежить від вас. Стажування не оплачується!",None,12 000 - 14 560 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/prodavets-v-nternet-magazin-robota-v-ofs-IDOOXX0.html,Опубліковано Сьогодні о 08:31
"работа Сварщик (аргон, П/А) Днепр","Крупному промышленному предприятию ""ТЕХМАМОНТАЖ"" (производство торгового оборудования из нержавеющей стали: столы, мойки, сушки…), на постоянную работу требуется сварщик-универсал (аргон, П/А)Требования: опыт работы от 2-х летОбязанности: сварка изделий из нержавеющей стали на основании чертежей аргоном и П/АУсловия работы:своевременная зарплата в размере 20000 грн (Сделка).официальное оформлениеработа на правом берегу — ул. Войцеховича, 77. График работы: пятидневка с 8−00 до 17−00",None,20 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/rabota-svarschik-argon-p-a-dnepr-IDMh1Ny.html,Опубліковано Сьогодні о 08:15
Менеджер по роботі з клієнтами,"ПАТ""ІНФОРМАЦІЙНО-АНАЛІТИЧНА АГЕНЦІЯ ""СТАТІНФОРМКОНСАЛТИНГ"" (Код ЕДПРОУ: 32422132) запрошує до команди. Відкрита вакансія Менеджер по роботі з клієнтами. Обов’язки : -Первинне консультування клієнта по послугам компанії -Супровід клієнта за залишеною заявкою  Вимоги до кандидатів: -Грамотна усна мова -Компютерна грамотність  -Мотивація розвиватися -Досвід не важливий Переваги роботи в нашій компанії: -Високий рівень доходу.Щотижнева оплата( ставка 3000 грн/тиждень + 15%) -Зручний графік роботи з 8:30 до 18:00, два вихідних, обід та 3 перерви на каву  -Навчання з провідними фахівцями( навчання також оплачується)  -Безкоштовне проживання Знаходимося за адресою : м.Київ, вул.Степана Бандери 12 Контактний номер телефону :+38********75",None,22 000 - 25 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/menedzher-po-robot-z-klntami-IDR75DW.html,Опубліковано Сьогодні о 08:26
"Повар на пиццу (Піццайло) ""Чудо Маркет""","Торгова мережа «Чудо Маркет» запрошує на роботу ПіццайлоВИМОГИ ДО ПРЕТЕНДЕНТА:Бажано досвід роботи, але розглянемо без досвідуЗнання основних технологічних процесівОхайність, організованістьОБОВ’ЯЗКИ:Приготування піцци відповідно до технологічних картСуворе дотримання санітарно-гігієнічних нормМИ НАДАЄМО:Гідну оплату праціСтабільні виплати без затримокГнучкий графікПрофесійне навчання і розвитокКорпоративні знижки для співробітників КомпаніїОплачувані медичні огляди та фірмовий одягЗацікавила вакансія?!Тоді обов'язково зателефонуй нам за номером 06*********55 або залиш заявку за посиланням, відправити резюме і ми обов'язково тобі передзвоним!",None,Повна зайнятість,https://www.olx.ua/uk/obyavlenie/rabota/povar-na-pitstsu-ptstsaylo-chudo-market-IDIYWWa.html,Опубліковано Сьогодні о 08:24
Требуется сушист,В заведение доставки еды на посёлке Котовского  требуется сушист с опытом работы! График работы 4/2 с 9:30 до 21:30 .Зарплата ставка + бонусы.Подробная информация по телефону!,None,16 000 - 20 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/trebuetsya-sushist-IDR8jLR.html,Опубліковано Сьогодні о 08:38
Комплектовщик требуются сотрудники,"Комплектовщик – сотрудник склада, в задачу которого входит комплектация заказа клиента товарно-материальными ценностями, которые указаны в заявке.

В обязанности работника входит подбор товаров по заказу клиента. Комплектовщик фасует товар по коробкам, емкостям, пакует, штабелирует, а также проверяет, чтобы содержимое партии соответствовало информации в накладной по весу, количеству, наименованиям.",None,20 000 - 30 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/komplektovschik-trebuyutsya-sotrudniki-IDR8jEU.html,Опубліковано Сьогодні о 08:44
"Водiї. Категорії В, С, СЕ. США. Без передплат.","Компанії потрібні водії різних категорій в США для роботи в сфері доставки.Потрібен хороший стан здоров'я і хороша фізична витривалість.З/П від 3400 у.о. Ми працюємо безпосередньо з роботодавцями та підприємствами в США. Порядність, без шкідливих звичок. За працевлаштування Ви платите із першої зарплати, а не на території України. Робота 6 днів на тиждень із 8 до 19, 1 день вихідний. Зарплата видається наприкінці робочого тижня. Проживання в гуртожитках по 1 особі в кімнаті (надається безкоштовно). Робочий одяг за рахунок працедавця. Робота постійна та офіційна.Обов'язки: Розвезення укомплектованих товарів, доставка.Харчування 2-разове, безкоштовне.З усіх питань телефонуйте або звертайтесь до ViberЄ й інші вакансії. Повний список актуальних вакансій запитуйте за вказаними контактами (вакансії постійно оновлюються).Або пишіть сюди.Рішення 237 від 12.02.2020",None,3 400 - 4 900 $/за місяць,https://www.olx.ua/uk/obyavlenie/rabota/vodi-kategor-v-s-se-ssha-bez-peredplat-IDQ9nak.html,Опубліковано Сьогодні о 08:26
Водій-експедитор,Потрібен водій-експедитор для доставки товару по місту. Графік пн-сб з 6:00 до 16:00 .,None,13 000 - 15 600 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/vody-ekspeditor-IDR8j2y.html,Опубліковано Сьогодні о 08:15
Продавец в магазин разливного пива,"Требуется продавец  в магазин  разливного пива. График 7/7,  с 10-10,район города малый рынок и набережная( конечная 85)",None,15 000 - 20 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/prodavets-v-magazin-razlivnogo-piva-IDNQ6hu.html,Опубліковано Сьогодні о 08:31
Требуется водитель такси Uber/Bolt/Uklon (доход до 65%+бонус бренд),"Водитель такси (BOLT, UBER,UKLON) на новые авто . Регулярные выплаты  Преимущества для водителя:

﻿• 65% от кассы водителю(есть так же смены в экипаже) • без залога • автомобили Hyundai Elantra;KIA Forte:от 2016года;Peugeot 301(2021) с установленным ГБО • еженедельная выплата зарплаты без задержек • один водитель на авто • возможность зарабатывать от 18000 до 30.000 в месяц • маршрут по удобному навигатору  Условия для водителя:  • возраст от 23 лет • водительский стаж от 3-х лет • желание работать и зарабатывать • аккуратное вождение, соблюдение ПДД • пунктуальность, дисциплинированность и вежливость  • презентабельный внешний вид • уход за авто, поддержание его в чистоте  Обязанности компании:  • регулярные выплаты • своевременное проведение ТО • страхование автомобиля • предоставление информационной поддержки 24/7",None,14 000 - 25 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/trebuetsya-voditel-taksi-uber-bolt-uklon-dohod-do-65-bonus-brend-IDMiwwE.html,Опубліковано Сьогодні о 08:44
Продавец- консультант,"Требуется продавец в мебельный магазин,с опытом работы .График работы неделя через неделю.С 8.00-18.00 Правый берег.",None,7 000 - 8 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/prodavets-konsultant-IDPlJ4f.html,Опубліковано Сьогодні о 08:24
Шукаємо   швачок,"Шукаємо швачок у просторий теплий цех. Район Червоний Хрест, завод Краян. Позаду ринка Малиновський. Постійна робота. Заробітна плата від 5000 ₴. Добре обладнання, світло є постійно та генератор на всяк випадок. Є премії. Виплати щотижня.",None,24 000 - 32 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/shukamo-shvachok-IDR5I7Y.html,Опубліковано Сьогодні о 08:38
Работа водителем в такси.  Аренда от 3700грн,"Требуются водители на парковые автомобили. Работа в такси в ЛЮБЫХ службах. Авто Hyundai Sonata АКПП , в отличном состоянии, на газу .Залог 2000грнТехническая поддержка 24/7 . Заправка ваша, техническое обслуживание компании.Требования к кандидату : водитель категории В , стаж по водительскому удостоверению от 2-х лет, уверенное вождение, соблюдение ПДД, отсутствие судимости. Ждем вас в нашем дружном коллективе. Звоните 06******57.",None,27 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/rabota-voditelem-v-taksi-arenda-ot-3700grn-IDMS5C6.html,Опубліковано Сьогодні о 08:10
